shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10141,51.095875,-114.211918,20004,0.517
10141,51.095874,-114.211028,20005,0.579
10141,51.095760,-114.211032,20006,0.592
10141,51.095732,-114.211030,20007,0.595
10141,51.095694,-114.211022,20008,0.599
10141,51.095672,-114.211013,20009,0.602
10141,51.095649,-114.210993,20010,0.604
10141,51.095634,-114.210974,20011,0.607
10141,51.095464,-114.210972,20012,0.625
10141,51.095464,-114.210972,30001,0.625
10141,51.095428,-114.210971,30002,0.629
10141,51.095160,-114.210971,30003,0.659
10141,51.094981,-114.210968,30004,0.679
10141,51.094830,-114.210970,30005,0.696
10141,51.094528,-114.210969,30006,0.730
10141,51.094281,-114.210970,30007,0.757
10141,51.094177,-114.210966,30008,0.768
10141,51.094088,-114.210966,30009,0.778
10141,51.093908,-114.210968,30010,0.798
10141,51.093738,-114.210968,30011,0.817
10141,51.093738,-114.210968,40001,0.817
10141,51.093424,-114.210969,40002,0.852
10141,51.092949,-114.210969,40003,0.905
10141,51.092422,-114.210968,40004,0.964
10141,51.092310,-114.210964,40005,0.976
10141,51.092228,-114.210954,40006,0.985
10141,51.092173,-114.210938,40007,0.992
10141,51.092128,-114.210921,40008,0.997
10141,51.092072,-114.210893,40009,1.003
10141,51.092021,-114.210865,40010,1.009
10141,51.091979,-114.210831,40011,1.014
10141,51.091941,-114.210791,40012,1.020
10141,51.091901,-114.210749,40013,1.025
10141,51.091826,-114.210652,40014,1.036
10141,51.091808,-114.210625,40015,1.038
10141,51.091734,-114.210496,40016,1.051
10141,51.091535,-114.210125,40017,1.085
10141,51.091535,-114.210125,50001,1.085
10141,51.091209,-114.209517,50002,1.141
10141,51.090604,-114.208393,50003,1.244
10141,51.090404,-114.208027,50004,1.278
10141,51.090158,-114.207570,50005,1.320
10141,51.090158,-114.207570,60001,1.320
10141,51.089048,-114.205509,60002,1.510
10141,51.089027,-114.205463,60003,1.514
10141,51.089027,-114.205463,70001,1.514
10141,51.089011,-114.205429,70002,1.517
10141,51.088957,-114.205245,70003,1.532
10141,51.088941,-114.205026,70004,1.547
10141,51.088947,-114.202836,70005,1.700
10141,51.088945,-114.202266,70006,1.740
10141,51.088953,-114.201693,70007,1.780
10141,51.088953,-114.201537,70008,1.791
10141,51.088951,-114.201175,70009,1.817
10141,51.088951,-114.201175,80001,1.817
10141,51.088951,-114.201132,80002,1.820
10141,51.088937,-114.201087,80003,1.823
10141,51.088919,-114.201007,80004,1.829
10141,51.088903,-114.200898,80005,1.837
10141,51.088892,-114.200736,80006,1.849
10141,51.088889,-114.200557,80007,1.861
10141,51.088884,-114.200360,80008,1.875
10141,51.088881,-114.200064,80009,1.896
10141,51.088884,-114.199812,80010,1.913
10141,51.088888,-114.199319,80011,1.948
10141,51.088887,-114.198634,80012,1.996
10141,51.088887,-114.198634,90001,1.996
10141,51.088887,-114.198614,90002,1.997
10141,51.088894,-114.198133,90003,2.031
10141,51.088918,-114.197543,90004,2.072
10141,51.088924,-114.197483,90005,2.076
10141,51.088937,-114.197401,90006,2.082
10141,51.088948,-114.197352,90007,2.086
10141,51.088963,-114.197316,90008,2.089
10141,51.088966,-114.196416,90009,2.152
10141,51.088968,-114.196002,90010,2.181
10141,51.088968,-114.196002,100001,2.181
10141,51.088978,-114.193569,100002,2.352
10141,51.088980,-114.193026,100003,2.390
10141,51.088980,-114.193026,110001,2.390
10141,51.088982,-114.191831,110002,2.473
10141,51.088986,-114.190557,110003,2.563
10141,51.088981,-114.190249,110004,2.584
10141,51.088980,-114.190124,110005,2.593
10141,51.088977,-114.190079,110006,2.596
