service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2022SE-1BUSWK-Weekday-05,1,1,1,1,1,0,0,20221027,20221216
2022SE-1BUSWK-Weekday-05-0000100,0,0,0,0,1,0,0,20221027,20221216
2022SE-1BUSWK-Weekday-05-1111000,1,1,1,1,0,0,0,20221027,20221216
2022SE-1BUSSA-Saturday-05,0,0,0,0,0,1,0,20221029,20221217
2022SE-1BUSSU-Sunday-05,0,0,0,0,0,0,1,20221030,20221218
2022SE-1LRTWK-Weekday-04,1,1,1,1,1,0,0,20221027,20221216
2022SE-1LRTSA-Saturday-00,0,0,0,0,0,1,0,20221029,20221217
2022SE-1LRTSU-Sunday-00,0,0,0,0,0,0,1,20221030,20221218
